window,pairs,opt,eq,l1_turnover
0,7,0.010387985952377684,0.012810065184248726,1.9999998128300995
1,20,-0.0818843341947407,-0.014814814116814366,2.5000000230094894
2,10,0.023643824710129088,0.05909058297560607,2.4999997667653613
6,20,0.021984142029451807,-0.002145890107659011,2.344337761215959
9,3,0.0020391412528502806,0.02747037776652038,1.9999997760630266
10,4,0.03417813973764961,-0.05799880006792831,1.2500000017997714
11,20,-0.04848296635582872,0.004956819164169034,2.5000000242999496
12,3,0.05474159569769099,-0.06520593676938027,2.249999983992869
13,5,0.045232277845088494,-0.0816375455709992,2.4988480254031114
14,1,-0.008482609689268466,-0.056868370545866166,0.7500000007734647
15,1,-0.013431743232857854,0.02946308776543438,0.7500000007308402
16,2,0.012113244702556064,0.020186577275075047,1.4999999584535466
17,20,-0.014746215877880445,-0.03170854625527878,2.9999999139987357
18,19,-0.03420114126231786,0.005803322030105791,2.499999892284621
19,20,-0.029705160503999774,0.011048739555148521,2.999998075108209
20,5,-0.045874423373308076,-0.056154525004847466,2.1389811006719692
24,1,-0.0008839667771520232,0.012990124147050603,0.48051980696325625
26,2,-0.002304031421406481,0.022626267165291637,0.749999998561674
27,4,-0.004583115526704002,-0.0006255044641492388,0.250000000191922
28,20,-0.007718044899456308,-0.10565818443582788,2.499999874150724
