window,formation_start,formation_end,trading_end,names,pairs_enumerated,tested,alpha,sig_raw,expected_fp,excess_over_noise,q_fdr,sig_fdr,book_size
0,2011-01-01,2012-01-01,2012-07-01,333,55278,55278,0.05,4370,2763.9,1606.1,0.1,7,7
1,2011-07-01,2012-07-01,2013-01-01,336,56280,56280,0.05,5444,2814.0,2630.0,0.1,307,20
2,2012-01-01,2013-01-01,2013-07-01,343,58653,58653,0.05,4846,2932.65,1913.35,0.1,10,10
3,2012-07-01,2013-07-01,2014-01-01,347,60031,60031,0.05,3201,3001.55,199.44999999999982,0.1,0,0
4,2013-01-01,2014-01-01,2014-07-01,353,62128,62128,0.05,3966,3106.4,859.5999999999999,0.1,0,0
5,2013-07-01,2014-07-01,2015-01-01,358,63903,63903,0.05,4553,3195.15,1357.85,0.1,2,2
6,2014-01-01,2015-01-01,2015-07-01,359,64261,64261,0.05,6095,3213.05,2881.95,0.1,20,20
7,2014-07-01,2015-07-01,2016-01-01,364,66066,66066,0.05,4872,3303.3,1568.6999999999998,0.1,0,0
8,2015-01-01,2016-01-01,2016-07-01,366,66795,66794,0.05,6082,3339.7000000000003,2742.2999999999997,0.1,0,0
9,2015-07-01,2016-07-01,2017-01-01,375,70125,70123,0.05,3519,3506.15,12.849999999999909,0.1,3,3
10,2016-01-01,2017-01-01,2017-07-01,383,73153,73153,0.05,7158,3657.65,3500.35,0.1,4,4
11,2016-07-01,2017-07-01,2018-01-01,396,78210,78210,0.05,6422,3910.5,2511.5,0.1,712,20
12,2017-01-01,2018-01-01,2018-07-01,402,80601,80601,0.05,5261,4030.05,1230.9499999999998,0.1,3,3
13,2017-07-01,2018-07-01,2019-01-01,410,83845,83845,0.05,4906,4192.25,713.75,0.1,5,5
14,2018-01-01,2019-01-01,2019-07-01,412,84666,84666,0.05,6958,4233.3,2724.7,0.1,1,1
15,2018-07-01,2019-07-01,2020-01-01,412,84666,84666,0.05,3899,4233.3,-334.3000000000002,0.1,1,1
16,2019-01-01,2020-01-01,2020-07-01,421,88410,88410,0.05,8930,4420.5,4509.5,0.1,2,2
17,2019-07-01,2020-07-01,2021-01-01,425,90100,90100,0.05,5890,4505.0,1385.0,0.1,20,20
18,2020-01-01,2021-01-01,2021-07-01,435,94395,94395,0.05,6248,4719.75,1528.25,0.1,19,19
19,2020-07-01,2021-07-01,2022-01-01,443,97903,97903,0.05,10479,4895.150000000001,5583.849999999999,0.1,39,20
20,2021-01-01,2022-01-01,2022-07-01,446,99235,99235,0.05,8616,4961.75,3654.25,0.1,5,5
21,2021-07-01,2022-07-01,2023-01-01,451,101475,101475,0.05,5766,5073.75,692.25,0.1,0,0
22,2022-01-01,2023-01-01,2023-07-01,455,103285,103285,0.05,5588,5164.25,423.75,0.1,0,0
23,2022-07-01,2023-07-01,2024-01-01,465,107880,107880,0.05,4274,5394.0,-1120.0,0.1,2,2
24,2023-01-01,2024-01-01,2024-07-01,472,111156,111156,0.05,5581,5557.8,23.199999999999818,0.1,1,1
25,2023-07-01,2024-07-01,2025-01-01,476,113050,113050,0.05,4558,5652.5,-1094.5,0.1,0,0
26,2024-01-01,2025-01-01,2025-07-01,480,114960,114960,0.05,7354,5748.0,1606.0,0.1,2,2
27,2024-07-01,2025-07-01,2026-01-01,484,116886,116886,0.05,9344,5844.3,3499.7,0.1,4,4
28,2025-01-01,2026-01-01,2026-07-01,487,118341,118341,0.05,11018,5917.05,5100.95,0.1,289,20
