window,names_on,names_off,tested_on,tested_off,sig_on,sig_off,fdr_on,fdr_off,book_on,book_off,book_identical
0,332,333,54946,55278,4321,4370,7,7,7,7,True
1,335,336,55945,56280,5432,5444,306,307,20,20,True
2,342,343,58311,58653,4822,4846,10,10,10,10,True
3,346,347,59685,60031,3184,3201,0,0,0,0,True
4,352,353,61776,62128,3938,3966,0,0,0,0,True
5,357,358,63546,63903,4274,4553,0,2,0,2,False
6,358,359,63903,64261,5809,6095,20,20,20,20,True
7,363,364,65703,66066,4588,4872,0,0,0,0,True
8,365,366,66430,66794,6035,6082,0,0,0,0,True
9,374,375,69750,70123,3469,3519,3,3,3,3,True
10,382,383,72771,73153,7078,7158,4,4,4,4,True
11,395,396,77815,78210,6359,6422,705,712,20,20,True
12,401,402,80200,80601,5149,5261,3,3,3,3,True
13,409,410,83436,83845,4889,4906,5,5,5,5,True
14,411,412,84255,84666,6808,6958,1,1,1,1,True
15,411,412,84255,84666,3880,3899,1,1,1,1,True
16,421,421,88410,88410,8930,8930,2,2,2,2,True
17,425,425,90100,90100,5890,5890,20,20,20,20,True
18,435,435,94395,94395,6248,6248,19,19,19,19,True
19,443,443,97903,97903,10479,10479,39,39,20,20,True
20,446,446,99235,99235,8616,8616,5,5,5,5,True
21,451,451,101475,101475,5766,5766,0,0,0,0,True
22,455,455,103285,103285,5588,5588,0,0,0,0,True
23,464,465,107416,107880,4223,4274,0,2,0,2,False
24,471,472,110685,111156,5566,5581,1,1,1,1,True
25,475,476,112575,113050,4537,4558,0,0,0,0,True
26,480,480,114960,114960,7354,7354,2,2,2,2,True
27,484,484,116886,116886,9344,9344,4,4,4,4,True
28,487,487,118341,118341,11018,11018,289,289,20,20,True
