window,formation_start,formation_end,trading_end,names,pairs_enumerated,tested,alpha,sig_raw,expected_fp,excess_over_noise,q_fdr,sig_fdr,book_size
0,2011-01-01,2012-01-01,2012-07-01,332,54946,54946,0.05,4321,2747.3,1573.6999999999998,0.1,7,7
1,2011-07-01,2012-07-01,2013-01-01,335,55945,55945,0.05,5432,2797.25,2634.75,0.1,306,20
2,2012-01-01,2013-01-01,2013-07-01,342,58311,58311,0.05,4822,2915.55,1906.4499999999998,0.1,10,10
3,2012-07-01,2013-07-01,2014-01-01,346,59685,59685,0.05,3184,2984.25,199.75,0.1,0,0
4,2013-01-01,2014-01-01,2014-07-01,352,61776,61776,0.05,3938,3088.8,849.1999999999998,0.1,0,0
5,2013-07-01,2014-07-01,2015-01-01,357,63546,63546,0.05,4274,3177.3,1096.6999999999998,0.1,0,0
6,2014-01-01,2015-01-01,2015-07-01,358,63903,63903,0.05,5809,3195.15,2613.85,0.1,20,20
7,2014-07-01,2015-07-01,2016-01-01,363,65703,65703,0.05,4588,3285.15,1302.85,0.1,0,0
8,2015-01-01,2016-01-01,2016-07-01,365,66430,66430,0.05,6035,3321.5,2713.5,0.1,0,0
9,2015-07-01,2016-07-01,2017-01-01,374,69751,69750,0.05,3469,3487.5,-18.5,0.1,3,3
10,2016-01-01,2017-01-01,2017-07-01,382,72771,72771,0.05,7078,3638.55,3439.45,0.1,4,4
11,2016-07-01,2017-07-01,2018-01-01,395,77815,77815,0.05,6359,3890.75,2468.25,0.1,705,20
12,2017-01-01,2018-01-01,2018-07-01,401,80200,80200,0.05,5149,4010.0,1139.0,0.1,3,3
13,2017-07-01,2018-07-01,2019-01-01,409,83436,83436,0.05,4889,4171.8,717.1999999999998,0.1,5,5
14,2018-01-01,2019-01-01,2019-07-01,411,84255,84255,0.05,6808,4212.75,2595.25,0.1,1,1
15,2018-07-01,2019-07-01,2020-01-01,411,84255,84255,0.05,3880,4212.75,-332.75,0.1,1,1
16,2019-01-01,2020-01-01,2020-07-01,421,88410,88410,0.05,8930,4420.5,4509.5,0.1,2,2
17,2019-07-01,2020-07-01,2021-01-01,425,90100,90100,0.05,5890,4505.0,1385.0,0.1,20,20
18,2020-01-01,2021-01-01,2021-07-01,435,94395,94395,0.05,6248,4719.75,1528.25,0.1,19,19
19,2020-07-01,2021-07-01,2022-01-01,443,97903,97903,0.05,10479,4895.150000000001,5583.849999999999,0.1,39,20
20,2021-01-01,2022-01-01,2022-07-01,446,99235,99235,0.05,8616,4961.75,3654.25,0.1,5,5
21,2021-07-01,2022-07-01,2023-01-01,451,101475,101475,0.05,5766,5073.75,692.25,0.1,0,0
22,2022-01-01,2023-01-01,2023-07-01,455,103285,103285,0.05,5588,5164.25,423.75,0.1,0,0
23,2022-07-01,2023-07-01,2024-01-01,464,107416,107416,0.05,4223,5370.8,-1147.8000000000002,0.1,0,0
24,2023-01-01,2024-01-01,2024-07-01,471,110685,110685,0.05,5566,5534.25,31.75,0.1,1,1
25,2023-07-01,2024-07-01,2025-01-01,475,112575,112575,0.05,4537,5628.75,-1091.75,0.1,0,0
26,2024-01-01,2025-01-01,2025-07-01,480,114960,114960,0.05,7354,5748.0,1606.0,0.1,2,2
27,2024-07-01,2025-07-01,2026-01-01,484,116886,116886,0.05,9344,5844.3,3499.7,0.1,4,4
28,2025-01-01,2026-01-01,2026-07-01,487,118341,118341,0.05,11018,5917.05,5100.95,0.1,289,20
